DateTime,AddedIPs,RemovedIPs
1612134241,211,211
1612145041,443,443
1612155841,327,327
1612166641,352,352
1612177441,365,365
1612188241,348,348
1612199041,277,277
1612209841,277,277
1612220641,290,290
1612231441,470,470
1612242241,393,393
1612253041,391,391
1612263841,385,385
1612274641,337,337
1612285441,323,323
1612296241,293,293
1612307041,271,271
1612317841,497,497
1612328641,402,402
1612339441,393,393
1612350241,356,356
1612361041,343,343
1612371841,290,290
1612382641,283,283
1612393441,286,286
1612404241,452,452
1612415041,416,416
1612425841,359,359
1612436641,365,365
1612447441,320,320
1612458241,292,292
1612469041,259,259
1612479841,379,379
1612490641,597,597
1612501441,466,466
1612512241,388,388
1612523041,308,308
1612533841,270,270
1612544641,317,317
1612555441,296,296
1612566241,424,424
1612577041,747,747
1612587841,407,407
1612598641,431,431
1612609441,383,383
1612620241,319,319
1612631041,296,296
1612793041,906,906
1612814641,2865,2865
1612825441,925,925
1612836241,561,561
1612847041,396,396
1612857841,374,374
1612868641,353,353
1612879441,306,306
1612890241,307,307
1612901041,346,346
1612911841,413,413
1612922641,579,579
1612933441,529,529
1612944241,429,429
1612955041,381,381
1612965841,329,329
1612976641,328,328
1612987441,350,350
1612998241,320,320
1613009041,558,558
1613019841,418,418
1613030641,361,361
1613041441,334,334
1613052241,357,357
1613063041,332,332
1613073841,346,346
1613084641,293,293
1613095441,713,713
1613106241,424,424
1613117041,359,359
1613127841,356,356
1613138641,369,369
1613149441,344,344
1613160241,454,454
1613171041,335,335
1613181841,868,868
1613192641,455,455
1613203441,465,465
1613214241,383,383
1613225041,329,329
1613235841,287,287
1613246641,319,319
1613257441,300,300
1613268241,529,529
1613279041,540,540
1613343841,21,21
1613354642,2013,2013
1613365441,724,724
1613376241,411,411
1613387041,355,355
1613397841,397,397
1613412241,485,485
1613423041,317,317
1613433841,303,303
1613444641,592,592
1613455441,353,353
1613466241,352,352
1613477041,359,359
1613487841,265,265
1613498641,241,241
1613509441,270,270
1613520241,277,277
1613531041,482,482
1613541841,359,359
1613552641,284,284
1613563441,324,324
1613574241,307,307
1613585041,222,222
1613595841,228,228
1613606641,246,246
1613617441,489,489
1613628241,334,334
1613639041,305,305
1613649841,281,281
1613660641,266,266
1613671441,302,302
1613682241,249,249
1613693041,408,408
1613703841,546,546
1613714641,326,326
1613725441,322,322
1613736241,298,298
1613747041,291,291
1613757841,327,327
1613768641,341,341
1613779441,311,311
1613790241,603,603
1613801041,411,411
1613811841,350,350
1613822641,455,455
1613833441,357,357
1613844241,301,301
1613855041,277,277
1613865841,297,297
1613876641,514,514
1613887441,606,606
1613898241,584,584
1613909042,431,431
1613919841,323,323
1613930641,306,306
1613941441,358,358
1613952241,310,310
1613963041,612,612
1613973841,438,438
1613984641,404,404
1613995441,367,367
1614006241,374,374
1614017041,348,348
1614027841,379,379
1614038641,335,335
1614049441,687,687
1614060241,447,447
1614071041,397,397
1614081841,428,428
1614092641,372,372
1614103441,357,357
1614114241,349,349
1614125041,351,351
1614135841,682,682
1614146641,444,444
1614157442,450,450
1614168241,355,355
1614179041,372,372
1614189841,403,403
1614200641,396,396
1614211441,448,448
1614222241,707,707
1614233041,451,451
1614243841,417,417
1614254641,365,365
1614265441,407,407
1614276241,378,378
1614287041,297,297
1614297841,292,292
1614308641,717,717
1614319441,311,311
1614330241,433,433
1614341041,459,459
1614351841,430,430
1614362641,440,440
1614373441,431,431
1614384241,634,634
1614395041,902,902
1614405841,565,565
1614416641,482,482
1614427441,411,411
1614438241,386,386
1614449041,380,380
1614459841,345,345
1614470641,325,325
1614481441,838,838
1614492241,796,796
1614503041,726,726
1614513841,539,539
1614524641,478,478
1614535441,484,484
1614546241,431,431
1614557041,404,404
1614567841,984,984
1614578641,628,628
1614589441,625,625
1614600241,646,646
1614611041,549,549
1614621841,486,486
1614632641,446,446
1614643441,350,350
1614654241,1187,1187
1614665041,381,381
1614675841,347,347
1614686641,407,407
1614697441,309,309
1614708241,319,319
1614719041,283,283
1614729841,279,279
1614740641,643,643
1614751441,370,370
1614762241,345,345
1614773041,267,267
1614783841,293,293
1614794642,303,303
1614805441,304,304
1614816241,287,287
1614827041,538,538
1614837841,594,594
1614848641,623,623
1614859441,572,572
1614870241,476,476
1614881041,499,499
1614891841,451,451
1614902641,414,414
1614913441,816,816
1614924241,478,478
1614935041,454,454
1614945841,471,471
1614956641,438,438
1614967441,501,501
1614978241,402,402
1614989041,352,352
1614999841,895,895
1615010641,633,633
1615021441,473,473
1615032241,447,447
1615043041,471,471
1615053841,451,451
1615064641,367,367
1615075441,373,373
1615086241,772,772
1615097041,673,673
1615107841,704,704
1615118641,469,469
1615129441,473,473
1615140241,482,482
1615151041,408,408
1615161841,367,367
1615172641,890,890
1615183441,541,541
1615194241,524,524
1615205041,549,549
1615215841,574,574
1615226641,535,535
1615237441,446,446
1615248241,432,432
1615259041,946,946
1615269841,581,581
1615280641,623,623
1615291441,640,640
1615302241,618,618
1615313041,595,595
1615323841,506,506
1615334641,293,293
1615345441,1167,1167
1615356241,644,644
1615367041,662,662
1615377841,699,699
1615388641,603,603
1615399441,584,584
1615410241,511,511
1615421041,501,501
1615431841,1473,1473
1615442641,692,692
1615453441,731,731
1615464241,760,760
1615475041,760,760
1615485841,638,638
1615496641,555,555
1615507441,549,549
1615518241,1773,1773
1615529041,922,922
1615539841,837,837
1615550641,852,852
1615561441,839,839
1615572241,842,842
1615583041,738,738
1615593841,915,915
1615604641,2479,2479
1615615441,1115,1115
1615626241,724,724
1615637041,820,820
1615647841,875,875
1615658641,758,758
1615669441,669,669
1615680241,961,961
1615691041,2512,2512
1615701841,1138,1138
1615712641,1008,1008
1615723441,656,656
1615734241,594,594
1615745041,504,504
1615755842,529,529
1615766641,439,439
1615777441,1999,1999
1615788241,705,705
1615799041,681,681
1615809841,610,610
1615820641,575,575
1615831441,533,533
1615842241,516,516
1615853041,485,485
1615863841,1652,1652
1615874641,701,701
1615885441,621,621
1615896241,649,649
1615907041,578,578
1615917841,496,496
1615928641,455,455
1615939441,481,481
1615950241,1489,1489
1615961041,620,620
1615971841,608,608
